,country,year,sex,age,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation
775,Argentina,2000,female,35-54 years,174,4253771,4.09,"284,203,750,000",8462,Boomers
776,Argentina,2000,female,15-24 years,116,3249247,3.57,"284,203,750,000",8462,Generation X
777,Argentina,2000,female,25-34 years,63,2617723,2.41,"284,203,750,000",8462,Generation X
778,Argentina,2000,female,5-14 years,21,3396135,0.62,"284,203,750,000",8462,Millenials
779,Argentina,2000,male,5-14 years,18,3502413,0.51,"284,203,750,000",8462,Millenials
780,Argentina,2001,male,75+ years,250,547473,45.66,"268,696,750,000",7900,Silent
781,Argentina,2001,male,55-74 years,659,2358654,27.94,"268,696,750,000",7900,Silent
782,Argentina,2001,male,15-24 years,518,3325440,15.58,"268,696,750,000",7900,Millenials
783,Argentina,2001,male,35-54 years,625,4145861,15.08,"268,696,750,000",7900,Boomers
784,Argentina,2001,male,25-34 years,375,2675285,14.02,"268,696,750,000",7900,Generation X
785,Argentina,2001,female,75+ years,57,978346,5.83,"268,696,750,000",7900,Silent
786,Argentina,2001,female,15-24 years,166,3262682,5.09,"268,696,750,000",7900,Millenials
787,Argentina,2001,female,55-74 years,137,2788628,4.91,"268,696,750,000",7900,Silent
788,Argentina,2001,female,35-54 years,210,4306817,4.88,"268,696,750,000",7900,Boomers
789,Argentina,2001,female,25-34 years,82,2690206,3.05,"268,696,750,000",7900,Generation X
790,Argentina,2001,male,5-14 years,29,3519935,0.82,"268,696,750,000",7900,Millenials
791,Argentina,2001,female,5-14 years,24,3411619,0.7,"268,696,750,000",7900,Millenials
792,Argentina,2002,male,75+ years,234,566447,41.31,"97,724,004,252",2840,Silent
793,Argentina,2002,male,55-74 years,615,2387478,25.76,"97,724,004,252",2840,Silent
794,Argentina,2002,male,15-24 years,542,3331708,16.27,"97,724,004,252",2840,Millenials
795,Argentina,2002,male,25-34 years,412,2758283,14.94,"97,724,004,252",2840,Generation X
796,Argentina,2002,male,35-54 years,619,4191889,14.77,"97,724,004,252",2840,Boomers
797,Argentina,2002,female,55-74 years,179,2819507,6.35,"97,724,004,252",2840,Silent
798,Argentina,2002,female,75+ years,58,1012399,5.73,"97,724,004,252",2840,Silent
799,Argentina,2002,female,15-24 years,158,3263542,4.84,"97,724,004,252",2840,Millenials
800,Argentina,2002,female,35-54 years,194,4355651,4.45,"97,724,004,252",2840,Boomers
801,Argentina,2002,female,25-34 years,91,2772560,3.28,"97,724,004,252",2840,Generation X
802,Argentina,2002,male,5-14 years,37,3529201,1.05,"97,724,004,252",2840,Millenials
803,Argentina,2002,female,5-14 years,23,3418842,0.67,"97,724,004,252",2840,Millenials
804,Argentina,2003,male,75+ years,272,581842,46.75,"127,586,973,492",3668,Silent
805,Argentina,2003,male,55-74 years,577,2420864,23.83,"127,586,973,492",3668,Silent
806,Argentina,2003,male,15-24 years,638,3331226,19.15,"127,586,973,492",3668,Millenials
807,Argentina,2003,male,25-34 years,456,2845955,16.02,"127,586,973,492",3668,Generation X
808,Argentina,2003,male,35-54 years,625,4237124,14.75,"127,586,973,492",3668,Boomers
809,Argentina,2003,female,75+ years,68,1044188,6.51,"127,586,973,492",3668,Silent
810,Argentina,2003,female,15-24 years,179,3258029,5.49,"127,586,973,492",3668,Millenials
811,Argentina,2003,female,55-74 years,147,2854473,5.15,"127,586,973,492",3668,Silent
812,Argentina,2003,female,35-54 years,196,4402438,4.45,"127,586,973,492",3668,Boomers
813,Argentina,2003,female,25-34 years,69,2859003,2.41,"127,586,973,492",3668,Generation X
814,Argentina,2003,male,5-14 years,37,3531507,1.05,"127,586,973,492",3668,Millenials
815,Argentina,2003,female,5-14 years,25,3419258,0.73,"127,586,973,492",3668,Millenials
816,Argentina,2004,male,75+ years,227,593409,38.25,"164,657,930,453",4683,Silent
817,Argentina,2004,male,55-74 years,500,2459960,20.33,"164,657,930,453",4683,Silent
818,Argentina,2004,male,15-24 years,653,3333328,19.59,"164,657,930,453",4683,Millenials
819,Argentina,2004,male,25-34 years,445,2930079,15.19,"164,657,930,453",4683,Generation X
820,Argentina,2004,male,35-54 years,599,4284709,13.98,"164,657,930,453",4683,Boomers
821,Argentina,2004,female,15-24 years,159,3255244,4.88,"164,657,930,453",4683,Millenials
822,Argentina,2004,female,55-74 years,136,2895423,4.7,"164,657,930,453",4683,Silent
823,Argentina,2004,female,75+ years,50,1073648,4.66,"164,657,930,453",4683,Silent
824,Argentina,2004,female,35-54 years,185,4450210,4.16,"164,657,930,453",4683,Boomers
825,Argentina,2004,female,25-34 years,99,2940630,3.37,"164,657,930,453",4683,Generation X
826,Argentina,2004,male,5-14 years,43,3530061,1.22,"164,657,930,453",4683,Millenials
827,Argentina,2004,female,5-14 years,25,3416244,0.73,"164,657,930,453",4683,Millenials
828,Argentina,2005,male,75+ years,225,601176,37.43,"198,737,095,012",5590,Silent
829,Argentina,2005,male,55-74 years,489,2505136,19.52,"198,737,095,012",5590,Silent
830,Argentina,2005,male,15-24 years,638,3343414,19.08,"198,737,095,012",5590,Millenials
831,Argentina,2005,male,25-34 years,451,3004991,15.01,"198,737,095,012",5590,Generation X
832,Argentina,2005,male,35-54 years,539,4336453,12.43,"198,737,095,012",5590,Boomers
833,Argentina,2005,female,55-74 years,161,2943135,5.47,"198,737,095,012",5590,Silent
834,Argentina,2005,female,75+ years,59,1101024,5.36,"198,737,095,012",5590,Silent
835,Argentina,2005,female,15-24 years,148,3260468,4.54,"198,737,095,012",5590,Millenials
836,Argentina,2005,female,35-54 years,171,4500787,3.8,"198,737,095,012",5590,Boomers
837,Argentina,2005,female,25-34 years,104,3011376,3.45,"198,737,095,012",5590,Generation X
838,Argentina,2005,male,5-14 years,52,3528848,1.47,"198,737,095,012",5590,Millenials
839,Argentina,2005,female,5-14 years,21,3413809,0.62,"198,737,095,012",5590,Millenials
840,Argentina,2006,male,75+ years,246,620010,39.68,"232,557,260,817",6475,Silent
841,Argentina,2006,male,15-24 years,656,3357424,19.54,"232,557,260,817",6475,Millenials
842,Argentina,2006,male,55-74 years,487,2540712,19.17,"232,557,260,817",6475,Silent
843,Argentina,2006,male,25-34 years,483,3068991,15.74,"232,557,260,817",6475,Generation X
844,Argentina,2006,male,35-54 years,585,4383730,13.34,"232,557,260,817",6475,Boomers
845,Argentina,2006,female,15-24 years,175,3271703,5.35,"232,557,260,817",6475,Millenials
846,Argentina,2006,female,55-74 years,115,2983954,3.85,"232,557,260,817",6475,Silent
847,Argentina,2006,female,35-54 years,160,4549471,3.52,"232,557,260,817",6475,Boomers
848,Argentina,2006,female,25-34 years,105,3070419,3.42,"232,557,260,817",6475,Generation X
849,Argentina,2006,female,75+ years,31,1132977,2.74,"232,557,260,817",6475,Silent
850,Argentina,2006,male,5-14 years,39,3527369,1.11,"232,557,260,817",6475,Millenials
851,Argentina,2006,female,5-14 years,26,3412126,0.76,"232,557,260,817",6475,Millenials
852,Argentina,2007,male,75+ years,225,634995,35.43,"287,530,508,431",7918,Silent
853,Argentina,2007,male,15-24 years,577,3381171,17.07,"287,530,508,431",7918,Millenials
854,Argentina,2007,male,55-74 years,438,2582754,16.96,"287,530,508,431",7918,Silent
855,Argentina,2007,male,25-34 years,490,3125322,15.68,"287,530,508,431",7918,Generation X
856,Argentina,2007,male,35-54 years,571,4436541,12.87,"287,530,508,431",7918,Boomers
857,Argentina,2007,female,15-24 years,146,3292790,4.43,"287,530,508,431",7918,Millenials
858,Argentina,2007,female,25-34 years,126,3120162,4.04,"287,530,508,431",7918,Generation X
859,Argentina,2007,female,55-74 years,108,3033008,3.56,"287,530,508,431",7918,Silent
860,Argentina,2007,female,35-54 years,155,4601874,3.37,"287,530,508,431",7918,Boomers
861,Argentina,2007,female,75+ years,31,1161794,2.67,"287,530,508,431",7918,Silent
862,Argentina,2007,male,5-14 years,45,3530454,1.27,"287,530,508,431",7918,Generation Z
863,Argentina,2007,female,5-14 years,34,3414627,1.0,"287,530,508,431",7918,Generation Z
864,Argentina,2008,male,75+ years,208,646185,32.19,"361,558,037,110",9843,Silent
865,Argentina,2008,male,15-24 years,625,3410092,18.33,"361,558,037,110",9843,Millenials
866,Argentina,2008,male,55-74 years,463,2630686,17.6,"361,558,037,110",9843,Silent
867,Argentina,2008,male,25-34 years,531,3172743,16.74,"361,558,037,110",9843,Generation X
868,Argentina,2008,male,35-54 years,582,4496672,12.94,"361,558,037,110",9843,Boomers
869,Argentina,2008,female,15-24 years,180,3319037,5.42,"361,558,037,110",9843,Millenials
870,Argentina,2008,female,35-54 years,173,4660022,3.71,"361,558,037,110",9843,Boomers
871,Argentina,2008,female,55-74 years,108,3088727,3.5,"361,558,037,110",9843,Silent
872,Argentina,2008,female,75+ years,36,1188016,3.03,"361,558,037,110",9843,Silent
873,Argentina,2008,female,25-34 years,94,3159967,2.97,"361,558,037,110",9843,Generation X
874,Argentina,2008,male,5-14 years,39,3539110,1.1,"361,558,037,110",9843,Generation Z
875,Argentina,2008,female,5-14 years,20,3422263,0.58,"361,558,037,110",9843,Generation Z
876,Argentina,2009,male,75+ years,177,653486,27.09,"332,976,484,578",8961,Silent
877,Argentina,2009,male,15-24 years,609,3436265,17.72,"332,976,484,578",8961,Millenials
878,Argentina,2009,male,55-74 years,434,2683502,16.17,"332,976,484,578",8961,Silent
879,Argentina,2009,male,25-34 years,504,3210244,15.7,"332,976,484,578",8961,Generation X
880,Argentina,2009,male,35-54 years,542,4566645,11.87,"332,976,484,578",8961,Boomers
881,Argentina,2009,female,15-24 years,164,3342385,4.91,"332,976,484,578",8961,Millenials
882,Argentina,2009,female,55-74 years,112,3148915,3.56,"332,976,484,578",8961,Silent
883,Argentina,2009,female,25-34 years,105,3189773,3.29,"332,976,484,578",8961,Generation X
884,Argentina,2009,female,35-54 years,150,4726814,3.17,"332,976,484,578",8961,Boomers
885,Argentina,2009,female,75+ years,25,1211934,2.06,"332,976,484,578",8961,Silent
886,Argentina,2009,male,5-14 years,34,3553154,0.96,"332,976,484,578",8961,Generation Z
887,Argentina,2009,female,5-14 years,28,3434884,0.82,"332,976,484,578",8961,Generation Z
888,Argentina,2010,male,75+ years,206,657096,31.35,"423,627,422,092",11273,Silent
889,Argentina,2010,male,15-24 years,683,3455127,19.77,"423,627,422,092",11273,Millenials
890,Argentina,2010,male,25-34 years,485,3237957,14.98,"423,627,422,092",11273,Generation X
891,Argentina,2010,male,55-74 years,397,2740656,14.49,"423,627,422,092",11273,Silent
892,Argentina,2010,male,35-54 years,573,4648068,12.33,"423,627,422,092",11273,Generation X
893,Argentina,2010,female,15-24 years,150,3358103,4.47,"423,627,422,092",11273,Millenials
894,Argentina,2010,female,35-54 years,162,4804030,3.37,"423,627,422,092",11273,Generation X
895,Argentina,2010,female,25-34 years,101,3210247,3.15,"423,627,422,092",11273,Generation X
896,Argentina,2010,female,55-74 years,99,3212253,3.08,"423,627,422,092",11273,Silent
897,Argentina,2010,female,75+ years,34,1234182,2.75,"423,627,422,092",11273,Silent
898,Argentina,2010,male,5-14 years,33,3570316,0.92,"423,627,422,092",11273,Generation Z
899,Argentina,2010,female,5-14 years,20,3450419,0.58,"423,627,422,092",11273,Generation Z
900,Argentina,2011,male,75+ years,178,674738,26.38,"530,163,281,575",13946,Silent
901,Argentina,2011,male,15-24 years,693,3471151,19.96,"530,163,281,575",13946,Millenials
902,Argentina,2011,male,25-34 years,510,3258804,15.65,"530,163,281,575",13946,Millenials
903,Argentina,2011,male,55-74 years,416,2788575,14.92,"530,163,281,575",13946,Boomers
904,Argentina,2011,male,35-54 years,504,4738525,10.64,"530,163,281,575",13946,Generation X
905,Argentina,2011,female,15-24 years,172,3372659,5.1,"530,163,281,575",13946,Millenials
906,Argentina,2011,female,35-54 years,157,4893085,3.21,"530,163,281,575",13946,Generation X
907,Argentina,2011,female,25-34 years,102,3224774,3.16,"530,163,281,575",13946,Millenials
908,Argentina,2011,female,55-74 years,93,3268753,2.85,"530,163,281,575",13946,Boomers
909,Argentina,2011,female,75+ years,30,1260121,2.38,"530,163,281,575",13946,Silent
910,Argentina,2011,female,5-14 years,29,3472180,0.84,"530,163,281,575",13946,Generation Z
911,Argentina,2011,male,5-14 years,28,3592374,0.78,"530,163,281,575",13946,Generation Z
912,Argentina,2012,male,75+ years,225,688560,32.68,"545,982,375,701",14203,Silent
913,Argentina,2012,male,15-24 years,745,3480902,21.4,"545,982,375,701",14203,Millenials
914,Argentina,2012,male,25-34 years,616,3268154,18.85,"545,982,375,701",14203,Millenials
915,Argentina,2012,male,55-74 years,451,2839783,15.88,"545,982,375,701",14203,Boomers
916,Argentina,2012,male,35-54 years,554,4841057,11.44,"545,982,375,701",14203,Generation X
917,Argentina,2012,female,15-24 years,204,3380770,6.03,"545,982,375,701",14203,Millenials
918,Argentina,2012,female,35-54 years,164,4993138,3.28,"545,982,375,701",14203,Generation X
919,Argentina,2012,female,55-74 years,108,3328463,3.24,"545,982,375,701",14203,Boomers
920,Argentina,2012,female,25-34 years,102,3228400,3.16,"545,982,375,701",14203,Millenials
921,Argentina,2012,female,75+ years,33,1282726,2.57,"545,982,375,701",14203,Silent
922,Argentina,2012,male,5-14 years,29,3615254,0.8,"545,982,375,701",14203,Generation Z
923,Argentina,2012,female,5-14 years,17,3494571,0.49,"545,982,375,701",14203,Generation Z
924,Argentina,2013,male,75+ years,168,699046,24.03,"552,025,140,252",14206,Silent
925,Argentina,2013,male,15-24 years,696,3486661,19.96,"552,025,140,252",14206,Millenials
926,Argentina,2013,male,25-34 years,499,3271373,15.25,"552,025,140,252",14206,Millenials
927,Argentina,2013,male,55-74 years,398,2894129,13.75,"552,025,140,252",14206,Boomers
928,Argentina,2013,male,35-54 years,604,4950850,12.2,"552,025,140,252",14206,Generation X
929,Argentina,2013,female,15-24 years,167,3384642,4.93,"552,025,140,252",14206,Millenials
930,Argentina,2013,female,25-34 years,102,3226464,3.16,"552,025,140,252",14206,Millenials
931,Argentina,2013,female,35-54 years,157,5099167,3.08,"552,025,140,252",14206,Generation X
932,Argentina,2013,female,55-74 years,102,3390673,3.01,"552,025,140,252",14206,Boomers
933,Argentina,2013,female,75+ years,29,1303352,2.23,"552,025,140,252",14206,Silent
934,Argentina,2013,female,5-14 years,32,3515742,0.91,"552,025,140,252",14206,Generation Z
935,Argentina,2013,male,5-14 years,33,3637026,0.91,"552,025,140,252",14206,Generation Z
936,Argentina,2014,male,75+ years,192,706897,27.16,"526,319,673,732",13400,Silent
937,Argentina,2014,male,15-24 years,738,3492454,21.13,"526,319,673,732",13400,Millenials
938,Argentina,2014,male,25-34 years,531,3276955,16.2,"526,319,673,732",13400,Millenials
939,Argentina,2014,male,55-74 years,405,2951616,13.72,"526,319,673,732",13400,Boomers
940,Argentina,2014,male,35-54 years,644,5060862,12.73,"526,319,673,732",13400,Generation X
941,Argentina,2014,female,15-24 years,204,3388324,6.02,"526,319,673,732",13400,Millenials
942,Argentina,2014,female,35-54 years,196,5203634,3.77,"526,319,673,732",13400,Generation X
943,Argentina,2014,female,25-34 years,118,3227239,3.66,"526,319,673,732",13400,Millenials
944,Argentina,2014,female,55-74 years,109,3454994,3.15,"526,319,673,732",13400,Boomers
945,Argentina,2014,female,75+ years,25,1323654,1.89,"526,319,673,732",13400,Silent
946,Argentina,2014,female,5-14 years,35,3533961,0.99,"526,319,673,732",13400,Generation Z
947,Argentina,2014,male,5-14 years,34,3655965,0.93,"526,319,673,732",13400,Generation Z
948,Argentina,2015,male,75+ years,245,712691,34.38,"594,749,285,413",14981,Silent
949,Argentina,2015,male,15-24 years,656,3500580,18.74,"594,749,285,413",14981,Millenials
950,Argentina,2015,male,55-74 years,431,3011963,14.31,"594,749,285,413",14981,Boomers
951,Argentina,2015,male,25-34 years,465,3289927,14.13,"594,749,285,413",14981,Millenials
952,Argentina,2015,male,35-54 years,633,5166179,12.25,"594,749,285,413",14981,Generation X
953,Argentina,2015,female,15-24 years,153,3394201,4.51,"594,749,285,413",14981,Millenials
954,Argentina,2015,female,55-74 years,125,3520779,3.55,"594,749,285,413",14981,Boomers
955,Argentina,2015,female,25-34 years,114,3235582,3.52,"594,749,285,413",14981,Millenials
956,Argentina,2015,female,35-54 years,166,5301368,3.13,"594,749,285,413",14981,Generation X
957,Argentina,2015,female,75+ years,27,1344980,2.01,"594,749,285,413",14981,Silent
958,Argentina,2015,male,5-14 years,39,3672155,1.06,"594,749,285,413",14981,Generation Z
959,Argentina,2015,female,5-14 years,19,3549219,0.54,"594,749,285,413",14981,Generation Z
1906,Austria,1995,male,75+ years,184,147262,124.95,"241,038,283,063",32237,G.I. Generation
1907,Austria,1995,male,55-74 years,333,670553,49.66,"241,038,283,063",32237,Silent
1908,Austria,1995,male,35-54 years,437,1074328,40.68,"241,038,283,063",32237,Boomers
1909,Austria,1995,male,25-34 years,237,707468,33.5,"241,038,283,063",32237,Generation X
1910,Austria,1995,female,75+ years,100,341098,29.32,"241,038,283,063",32237,G.I. Generation
1911,Austria,1995,male,15-24 years,134,509262,26.31,"241,038,283,063",32237,Generation X
1912,Austria,1995,female,55-74 years,141,843210,16.72,"241,038,283,063",32237,Silent
1913,Austria,1995,female,35-54 years,136,1065630,12.76,"241,038,283,063",32237,Boomers
1914,Austria,1995,female,25-34 years,59,678262,8.7,"241,038,283,063",32237,Generation X
1915,Austria,1995,female,15-24 years,19,495368,3.84,"241,038,283,063",32237,Generation X
1916,Austria,1995,male,5-14 years,8,483644,1.65,"241,038,283,063",32237,Millenials
1917,Austria,1995,female,5-14 years,0,460945,0.0,"241,038,283,063",32237,Millenials
1918,Austria,1996,male,75+ years,188,151691,123.94,"237,250,948,791",31660,G.I. Generation
1919,Austria,1996,male,55-74 years,381,690803,55.15,"237,250,948,791",31660,Silent
1920,Austria,1996,male,35-54 years,452,1080848,41.82,"237,250,948,791",31660,Boomers
1921,Austria,1996,female,75+ years,112,351514,31.86,"237,250,948,791",31660,G.I. Generation
1922,Austria,1996,male,25-34 years,203,696869,29.13,"237,250,948,791",31660,Generation X
1923,Austria,1996,male,15-24 years,108,498112,21.68,"237,250,948,791",31660,Generation X
1924,Austria,1996,female,55-74 years,126,850049,14.82,"237,250,948,791",31660,Silent
1925,Austria,1996,female,35-54 years,140,1070879,13.07,"237,250,948,791",31660,Boomers
1926,Austria,1996,female,25-34 years,53,672341,7.88,"237,250,948,791",31660,Generation X
1927,Austria,1996,female,15-24 years,12,485090,2.47,"237,250,948,791",31660,Generation X
1928,Austria,1996,male,5-14 years,4,483799,0.83,"237,250,948,791",31660,Millenials
1929,Austria,1996,female,5-14 years,0,461711,0.0,"237,250,948,791",31660,Millenials
1930,Austria,1997,male,75+ years,159,156997,101.28,"212,790,348,405",28325,G.I. Generation
1931,Austria,1997,male,55-74 years,313,704226,44.45,"212,790,348,405",28325,Silent
1932,Austria,1997,male,35-54 years,379,1095317,34.6,"212,790,348,405",28325,Boomers
1933,Austria,1997,male,25-34 years,201,682210,29.46,"212,790,348,405",28325,Generation X
1934,Austria,1997,male,15-24 years,121,490385,24.67,"212,790,348,405",28325,Generation X
1935,Austria,1997,female,75+ years,83,363002,22.86,"212,790,348,405",28325,G.I. Generation
1936,Austria,1997,female,55-74 years,131,850056,15.41,"212,790,348,405",28325,Silent
1937,Austria,1997,female,35-54 years,131,1084510,12.08,"212,790,348,405",28325,Boomers
1938,Austria,1997,female,25-34 years,48,663325,7.24,"212,790,348,405",28325,Generation X
1939,Austria,1997,female,15-24 years,23,477550,4.82,"212,790,348,405",28325,Generation X
1940,Austria,1997,male,5-14 years,2,483890,0.41,"212,790,348,405",28325,Millenials
1941,Austria,1997,female,5-14 years,1,461121,0.22,"212,790,348,405",28325,Millenials
1942,Austria,1998,male,75+ years,165,162132,101.77,"218,259,904,402",28972,G.I. Generation
1943,Austria,1998,male,55-74 years,334,714245,46.76,"218,259,904,402",28972,Silent
1944,Austria,1998,male,35-54 years,407,1114719,36.51,"218,259,904,402",28972,Boomers
1945,Austria,1998,male,25-34 years,166,663510,25.02,"218,259,904,402",28972,Generation X
1946,Austria,1998,female,75+ years,79,374674,21.08,"218,259,904,402",28972,G.I. Generation
1947,Austria,1998,male,15-24 years,99,486438,20.35,"218,259,904,402",28972,Generation X
1948,Austria,1998,female,55-74 years,116,846818,13.7,"218,259,904,402",28972,Silent
1949,Austria,1998,female,35-54 years,116,1103422,10.51,"218,259,904,402",28972,Boomers
1950,Austria,1998,female,25-34 years,45,649694,6.93,"218,259,904,402",28972,Generation X
1951,Austria,1998,female,15-24 years,24,472685,5.08,"218,259,904,402",28972,Generation X
1952,Austria,1998,male,5-14 years,6,484321,1.24,"218,259,904,402",28972,Millenials
1953,Austria,1998,female,5-14 years,2,460861,0.43,"218,259,904,402",28972,Millenials
1954,Austria,1999,male,75+ years,149,167112,89.16,"217,185,787,343",28722,G.I. Generation
1955,Austria,1999,male,55-74 years,329,725044,45.38,"217,185,787,343",28722,Silent
1956,Austria,1999,male,35-54 years,386,1135873,33.98,"217,185,787,343",28722,Boomers
1957,Austria,1999,female,75+ years,108,385369,28.03,"217,185,787,343",28722,G.I. Generation
1958,Austria,1999,male,25-34 years,161,643115,25.03,"217,185,787,343",28722,Generation X
1959,Austria,1999,male,15-24 years,99,485374,20.4,"217,185,787,343",28722,Generation X
1960,Austria,1999,female,55-74 years,122,845401,14.43,"217,185,787,343",28722,Silent
1961,Austria,1999,female,35-54 years,136,1123652,12.1,"217,185,787,343",28722,Boomers
1962,Austria,1999,female,25-34 years,37,633829,5.84,"217,185,787,343",28722,Generation X
1963,Austria,1999,female,15-24 years,25,470179,5.32,"217,185,787,343",28722,Generation X
1964,Austria,1999,male,5-14 years,2,485188,0.41,"217,185,787,343",28722,Millenials
